person_id,primary_name,birth_year,death_year,primary_profession
844152,Adam Vetri,,,"director,producer,assistant_director"
1841,Adam West,1928,2017,"actor,soundtrack,director"
973784,Adam Williams,,,"actor,miscellaneous"
887291,Adam Woronowicz,1973,,"actor,producer"
889323,Adam Wylie,1984,,"actor,soundtrack,miscellaneous"
594510,Adama Niane,1966,,actor
401085,Adan Jodorowsky,1979,,"soundtrack,actor,composer"
1003819,Adarsh Mahalley,,,assistant_director
438810,Addie Akemi Kohzu,,,"miscellaneous,director,camera_department"
1027988,Addie Bua,,,
272971,Addie Foster,,,actress
64961,Addison Bell,,,"animation_department,art_department"
670056,Addison Randall,1949,,"actor,writer,assistant_director"
11470,Ade,,,"actor,producer"
386396,Adekunle Ilori,,,"producer,director,actor"
386551,Adel Emam,1940,,"actor,soundtrack"
443584,Adél Kováts,1962,,actress
349183,Adelaide Hastings,,1921,actress
84253,Adele Bleneau,,,writer
155280,Adele Claire,1927,1993,actress
254213,Adele Farnum,1908,1985,costume_department
284246,Adele Fátima,1954,,actress
382989,Adele Hutchinson,,,costume_department
399608,Adele Jergens,1917,2002,"actress,soundtrack"
515218,Adele Mara,1923,2010,"actress,soundtrack"
541507,Adele McLelland,,,actress
680548,Adele Reuter-Eichberg,,1928,actress
753146,Adele Silva,1980,,"actress,writer,producer"
787589,Adele Strong,1901,1987,actress
743407,Adeleh Shakoori,,,actress
438089,Adelheid Koehler,,,costume_designer
477421,Adelheid Lesti,,,actress
752323,Adelheid Sieuw,,,composer
338770,Adelin Hamel,,,actor
802902,Adelina Tattilo,,,producer
8680,Adeline Abitbol,,,actress
391478,Adeline Jackson,,,actress
895446,Adeline Yoyotte,,,"editor,editorial_department,sound_department"
159835,Adelmo Cocco,,,actor
753147,Ademar Silva,,,"camera_department,actor"
302547,Aden Gillett,1958,,actor
894368,Aden Young,1972,,"actor,editor,director"
14928,Adewale Akinnuoye-Agbaje,1967,,"actor,writer,director"
79369,Adi Binyaminov,,,"director,editor,actor"
285683,Adib Jahschan,1943,,"actor,writer,producer"
942638,Adil Hussain,,,actor
587602,Adile Nasit,1930,1987,actress
55133,Adilson Barros,1947,1997,actor
912444,Adina Popescu,,,"art_department,set_decorator,miscellaneous"
968517,Aditya,,,actor
1039687,Aditya Agarwal,,,composer
38089,Aditya Assarat,1972,,"director,writer,producer"
587019,Aditya Narayan,1987,,"music_department,soundtrack,actor"
622700,Aditya Pancholi,1965,,"actor,music_department,producer"
987409,Aditya Sharma,,,sound_department
